Pos,Team,PLD,W,D,L,GF,GA,GD,Pts,xG,xGA,xPts,xPos
1,Manchester City,38,29,6,3,99,26,73,93,93.40,25.21,91.88,1
2,Liverpool,38,28,8,2,94,26,68,92,93.02,32.73,86.56,2
3,Chelsea,38,21,11,6,76,33,43,74,69.30,35.12,73.38,3
4,Tottenham Hotspur,38,22,5,11,69,40,29,71,67.95,43.70,66.09,4
5,Arsenal,38,22,3,13,61,48,13,69,63.39,48.39,64.76,5
6,Manchester United,38,16,10,12,57,57,0,58,57.21,56.85,54.52,8
7,West Ham United,38,16,8,14,60,51,9,56,54.98,54.88,53.56,10
8,Leicester City,38,14,10,14,62,59,3,52,49.49,66.11,42.31,15
9,Brighton,38,12,15,11,42,44,-2,51,49.57,47.21,54.18,9
10,Wolves,38,15,6,17,38,43,-5,51,39.04,58.48,40.54,17
11,Newcastle United,38,13,10,15,44,62,-18,49,41.53,62.71,41.53,16
12,Crystal Palace,38,11,15,12,50,46,4,48,48.84,41.33,58.15,6
13,Brentford,38,13,7,18,48,56,-8,46,52.89,49.50,56.00,7
14,Aston Villa,38,13,6,19,52,54,-2,45,43.13,53.10,46.20,11
15,Southampton,38,9,13,16,43,67,-24,40, 47.35,64.56,43.45,14
16,Everton,38,11,6,21,43,66,-23,39,44.47,60.69,43.54,13
17,Leeds United,38,9,11,18,42,79,-37,38,51.19,71.31,43.86,12
18,Burnley,38,7,14,17,34,53,-19,35,41.11,60.22,38.10,18
19,Watford,38,6,5,27,34,77,-43,23,39.34,67.53,35.45,19
20,Norwich City,38,5,7,26,23,84,-61,22,31.51,80.08,25.04,20
